source_reference_date,source_district_name_2024,source_dong_name_2024,source_geography_type,mapping_status,mapping_method,current_candidate_count,current_candidate_admin_dong_codes_20260701,current_candidate_district_names_20260701,current_candidate_dong_names_20260701,recipient_count_living_all_ages,recipient_count_living_age_65_plus,recipient_count_living_age_75_plus,recipient_count_living_age_85_plus,recipient_count_medical_all_ages,recipient_count_medical_age_65_plus,recipient_count_medical_age_75_plus,recipient_count_medical_age_85_plus,recipient_count_housing_all_ages,recipient_count_housing_age_65_plus,recipient_count_housing_age_75_plus,recipient_count_housing_age_85_plus,recipient_count_education_all_ages,recipient_count_education_age_65_plus,recipient_count_education_age_75_plus,recipient_count_education_age_85_plus
2024-12-31,중구,중구,district_named_non_admin_record,excluded_district_named_record,not_a_current_admin_dong,0,,,,353,248,217,134,82,21,17,9,1,0,0,0,0,0,0,0
2024-12-31,중구,연안동,admin_dong_snapshot_2024,one_to_one_mapped,unique_exact_dong_name,1,2812552000,제물포구,연안동,246,146,75,22,17,9,3,0,113,56,37,11,6,0,0,0
2024-12-31,중구,신포동,admin_dong_snapshot_2024,one_to_one_mapped,unique_exact_dong_name,1,2812551000,제물포구,신포동,247,143,78,21,13,4,0,0,94,49,34,12,6,0,0,0
2024-12-31,중구,신흥동,admin_dong_snapshot_2024,one_to_one_mapped,unique_exact_dong_name,1,2812553000,제물포구,신흥동,647,276,130,36,70,14,12,1,267,94,46,13,31,0,0,0
2024-12-31,중구,도원동,admin_dong_snapshot_2024,one_to_one_mapped,unique_exact_dong_name,1,2812554000,제물포구,도원동,368,223,113,26,49,17,11,2,158,81,45,9,9,0,0,0
2024-12-31,중구,율목동,admin_dong_snapshot_2024,one_to_one_mapped,unique_exact_dong_name,1,2812555000,제물포구,율목동,431,265,143,43,44,15,6,0,105,68,48,10,7,0,0,0
2024-12-31,중구,동인천동,admin_dong_snapshot_2024,one_to_one_mapped,unique_exact_dong_name,1,2812556000,제물포구,동인천동,628,333,162,54,65,21,11,0,176,72,44,12,2,0,0,0
2024-12-31,중구,개항동,admin_dong_snapshot_2024,one_to_one_mapped,unique_exact_dong_name,1,2812557000,제물포구,개항동,583,335,185,48,42,14,10,0,220,112,63,21,20,0,0,0
2024-12-31,중구,영종동,admin_dong_snapshot_2024,one_to_one_mapped,unique_exact_dong_name,1,2815551000,영종구,영종동,557,254,117,46,35,14,6,0,348,108,61,22,9,0,0,0
2024-12-31,중구,영종1동,admin_dong_snapshot_2024,one_to_one_mapped,unique_exact_dong_name,1,2815552000,영종구,영종1동,513,187,105,22,39,21,7,1,460,132,75,23,25,0,0,0
2024-12-31,중구,영종2동,admin_dong_snapshot_2024,one_to_one_mapped,unique_exact_dong_name,1,2815553000,영종구,영종2동,336,111,48,12,30,14,7,0,321,85,44,14,12,0,0,0
2024-12-31,중구,운서동,admin_dong_snapshot_2024,one_to_many_split_unresolved,pre_split_source_requires_nonpublic_allocation_key,2,2815554000|2815555000,영종구|영종구,운서1동|운서2동,562,263,148,38,39,15,3,0,476,152,105,28,17,0,0,0
2024-12-31,중구,용유동,admin_dong_snapshot_2024,one_to_one_mapped,unique_exact_dong_name,1,2815556000,영종구,용유동,178,114,49,15,12,10,4,2,44,33,22,8,5,0,0,0
2024-12-31,동구,동구,district_named_non_admin_record,excluded_district_named_record,not_a_current_admin_dong,0,,,,33,19,18,14,19,10,8,5,0,0,0,0,0,0,0,0
2024-12-31,동구,만석동,admin_dong_snapshot_2024,one_to_one_mapped,unique_exact_dong_name,1,2812558000,제물포구,만석동,381,225,131,39,37,19,10,2,92,50,30,9,19,0,0,0
2024-12-31,동구,화수1·화평동,admin_dong_snapshot_2024,one_to_one_mapped,unique_normalized_punctuation_name,1,2812559000,제물포구,화수1.화평동,484,257,143,43,34,16,7,0,134,65,45,17,11,0,0,0
2024-12-31,동구,화수2동,admin_dong_snapshot_2024,one_to_one_mapped,unique_exact_dong_name,1,2812560000,제물포구,화수2동,469,271,150,53,44,16,9,1,149,79,56,12,9,0,0,0
2024-12-31,동구,송현1·2동,admin_dong_snapshot_2024,one_to_one_mapped,unique_normalized_punctuation_name,1,2812561000,제물포구,송현1.2동,123,69,42,13,10,6,4,3,71,25,18,8,1,0,0,0
2024-12-31,동구,송현3동,admin_dong_snapshot_2024,one_to_one_mapped,unique_exact_dong_name,1,2812562000,제물포구,송현3동,201,124,65,28,19,8,3,1,52,32,25,6,1,0,0,0
2024-12-31,동구,송림1동,admin_dong_snapshot_2024,one_to_one_mapped,unique_exact_dong_name,1,2812563000,제물포구,송림1동,137,60,35,10,19,12,6,0,95,33,27,10,11,0,0,0
